"animal_id","name","breed_primary","breed_primary_id","breed_secondary","breed_secondary_id","age_group","age_group_id","date_of_birth","gender","gender_id","location","location_id","source","source_id","surrender_reason","surrender_reason_id","color_code","color_code_id","Behavior Consult","OK with Dogs","House Trained","Part of a Bonded Pair","Special Fee","No Children","No Cats","No Dogs","Longterm Resident","Employee Pick","Hidden Gem","Medical Consult","Special Needs","OK with Cats","Reduced Fee","Adoption Fee Waived","Consult Required","Training Class Required","intake_date","departure","adoption_time","return"
72573,"Pretty Boy Bingo","Chihuahua",4287,"Jack Russell Terrier / Parson Russell Terrier",4330,"Mature Adult",5,"2010-02-23","Male",1,"Oceanside Campus - Dogs",56,"Owner Surrender",2,"Too many animals already",236,"blue",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019-08-18","2019-10-05",48,0
73378,"Rocket","American Pit Bull Terrier",4252,"NULL",NULL,"Mature Adult",5,"2009-11-09","Male",1,"Oceanside Campus - Dogs",56,"Owner Surrender",2,"Moving",228,"orange",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019-09-23","2019-09-30",7,0
120738,"Jr Wonderful","Chihuahua",4287,"Jack Russell Terrier / Parson Russell Terrier",4330,"Senior",4,"2011-03-24","Male",1,"Oceanside Campus - Dogs",56,"Owner Surrender",2,"Too many animals already",236,"blue",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019-08-18","2019-10-13",56,0
136924,"Maple","Terrier",4659,"NULL",NULL,"Mature Adult",5,"2013-10-30","Female",2,"Oceanside Campus - Dogs",56,"Stray",14,"NULL",NULL,"blue",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019-09-10","2019-10-17",37,0
137295,"Jazzy Jeff ","American Staffordshire Terrier",4253,"NULL",NULL,"Mature Adult",5,"2013-07-22","Male",1,"San Diego Campus - 5500",53,"Owner Surrender",2,"Moving/No pets allowed",250,"orange",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019-09-26","2019-10-06",10,0
168519,"Coco","American Pit Bull Terrier",4252,"NULL",NULL,"Mature Adult",5,"2013-03-31","Female",2,"San Diego Campus - 5500",53,"Owner Surrender",2,"Behavior - Aggression Displayed Other Then A Bite",252,"orange",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019-09-21","2019-11-29",69,0
181383,"Rex","American Pit Bull Terrier",4252,"NULL",NULL,"Mature Adult",5,"2015-04-01","Male",1,"Oceanside Campus - Dogs",56,"ACO Impound",32,"No time for animal",230,"blue",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019-09-13","2019-10-17",34,0
215554,"Nala","American Bulldog",4714,"American Pit Bull Terrier",4252,"Mature Adult",5,"2015-11-05","Female",2,"San Diego Campus - 5500",53,"Owner Surrender",2,"Moving",228,"orange",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019-09-22","2019-09-30",8,0
216012,"Callie","American Staffordshire Terrier",4253,"NULL",NULL,"Mature Adult",5,"2014-11-07","Female",2,"San Diego Campus - 5500",53,"Owner Surrender",2,"Moving",228,"orange",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019-09-22","2019-09-30",8,0
234080,"Marilyn","Miniature Poodle",4368,"Shih Tzu",4385,"Mature Adult",5,"2015-05-27","Female",2,"Oceanside Campus - Dogs",56,"Owner Surrender",2,"Other",268,"blue",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019-08-28","2019-10-10",43,0
235539,"Kane","American Staffordshire Terrier",4253,"NULL",NULL,"Mature Adult",5,"2014-02-01","Male",1,"San Diego Campus - 5500",53,"Owner Surrender",2,"New baby",229,"purple",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019-09-28","2019-09-30",2,0
275273,"Charlie","Labrador Retriever",6397,"Shepherd",8221,"Mature Adult",5,"2017-06-12","Male",1,"San Diego Campus - 5500",53,"Owner Surrender",2,"Allergies to pet",213,"orange",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019-09-26","2019-10-06",10,0
280929,"Shelly","Labrador Retriever",6397,"Border Collie",4272,"Senior",4,"2011-01-14","Female",2,"Oceanside Campus - Dogs",56,"ACO Impound",32,"NULL",NULL,"purple",3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019-08-21","2019-10-01",41,0
281129,"Brad","Labrador Retriever",6397,"Shepherd",8221,"Mature Adult",5,"2015-10-31","Male",1,"Oceanside Campus - Dogs",56,"ACO Impound",32,"NULL",NULL,"purple",3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019-08-21","2019-10-01",41,0
290023,"Candy","Chihuahua",4287,"NULL",NULL,"Mature Adult",5,"2012-04-13","Female",2,"Escondido Campus",64,"ACO Impound",32,"NULL",NULL,"purple",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019-09-13","2019-10-02",19,0
355472,"Lucky ","Labrador Retriever",6397,"NULL",NULL,"Mature Adult",5,"2014-01-01","Male",1,"San Diego Campus - 5500",53,"Owner Surrender",2,"No time for animal",230,"blue",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"2019-09-07","2019-10-10",33,0
383391,"Zorro","Shih Tzu",4385,"NULL",NULL,"NULL",NULL,"2013-12-22","Male",1,"San Diego Campus - 5500",53,"Stray",14,"NULL",NULL,"orange",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019-09-23","2019-10-01",8,0
393743,"Oso","Labrador Retriever",6397,"Shar Pei",4382,"Mature Adult",5,"2017-01-07","Male",1,"San Diego Campus - 5500",53,"Owner Surrender",2,"Moving",228,"blue",1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,"2019-08-15","2019-10-01",47,0
444019,"Chip","American Pit Bull Terrier",4252,"NULL",NULL,"Mature Adult",5,"2015-07-14","Male",1,"Oceanside Campus - Dogs",56,"Owner Surrender",2,"No time for animal",230,"orange",2,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,"2019-08-03","2019-10-06",64,0
546873,"Leia","American Pit Bull Terrier",4252,"NULL",NULL,"Mature Adult",5,"2013-12-26","Female",2,"San Diego Campus - 5500",53,"Returns",23,"NULL",NULL,"orange",2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2019-08-16","2019-10-31",76,0
546886,"Ozzie","Australian Cattle Dog / Blue Heeler",4256,"NULL",NULL,"Mature Adult",5,"2017-04-02","Male",1,"San Diego Campus - 5500",53,"Owner Surrender",2,"Behavior - Aggression That Resulted In A Bite",256,"blue",1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,"2019-09-14","2019-10-03",19,0
562804,"Jasper","American Pit Bull Terrier",4252,"NULL",NULL,"Mature Adult",5,"2014-12-19","Male",1,"Escondido Campus",64,"Owner Surrender",2,"Behavior - Possession Aggression Exhibited",253,"orange",2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"2019-09-28","2020-01-15",109,0
563187,"Brock","Siberian Husky",4386,"NULL",NULL,"Mature Adult",5,"2018-06-05","Male",1,"San Diego Campus - 5500",53,"Owner Surrender",2,"Other",268,"orange",2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,"2019-09-14","2019-10-06",22,0
571756,"Aphrodite","German Shepherd",4313,"NULL",NULL,"Mature Adult",5,"2011-02-02","Female",2,"San Diego Campus - 5500",53,"Owner Surrender",2,"Destructive Behavior",263,"blue",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"2019-09-27","2019-10-14",17,0
576509,"Luna","American Staffordshire Terrier",4253,"NULL",NULL,"Mature Adult",5,"2016-02-23","Female",2,"Escondido Campus",64,"Returns",23,"NULL",NULL,"blue",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2019-09-10","2019-10-27",47,0
582828,"Milo","Terrier",4659,"NULL",NULL,"Mature Adult",5,"2018-08-28","Male",1,"San Diego Campus - 5500",53,"Owner Surrender",2,"Behavior - Possession Aggression Exhibited",253,"purple",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019-09-20","2019-10-03",13,0
584937,"Iris","Dachshund",4297,"NULL",NULL,"Senior",4,"2011-04-06","Female",2,"Oceanside Campus - Dogs",56,"Owner Surrender",2,"Not allowed to keep",238,"blue",1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"2019-09-01","2019-10-17",46,0
584939,"Rose","Dachshund",4297,"NULL",NULL,"Senior",4,"2011-04-06","Female",2,"Oceanside Campus - Dogs",56,"Owner Surrender",2,"Not allowed to keep",238,"blue",1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"2019-09-01","2019-10-17",46,0
585602,"Buddy Holly","American Pit Bull Terrier",4252,"NULL",NULL,"Mature Adult",5,"2016-04-09","Male",1,"San Diego Campus - 5500",53,"Owner Surrender - ACO",85,"NULL",NULL,"blue",1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,"2019-04-10","2019-10-23",196,0
588161,"Snoop","American Staffordshire Terrier",4253,"NULL",NULL,"Mature Adult",5,"2015-04-21","Male",1,"San Diego Campus - 5500",53,"Owner Surrender",2,"Too many animals already",236,"orange",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019-09-29","2019-10-01",2,0
590116,"Scarface","American Pit Bull Terrier",4252,"NULL",NULL,"Adolescent (6-12mos)",2,"2018-10-28","Male",1,"San Diego Campus - 5500",53,"ACO Impound",32,"NULL",NULL,"orange",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019-09-11","2019-10-13",32,0
594283,"Sandor","Chihuahua",4287,"Terrier",4659,"Mature Adult",5,"2013-05-16","Male",1,"Oceanside Campus - Dogs",56,"Owner Surrender",2,"No time for animal",230,"blue",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019-09-01","2019-10-10",39,0
594796,"Whiskey","Doberman Pinscher",4301,"NULL",NULL,"Mature Adult",5,"2014-05-18","Female",2,"San Diego Campus - 5500",53,"Owner Surrender",2,"No time for animal",230,"orange",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019-09-29","2019-09-30",1,0
596478,"Tyson ","American Staffordshire Terrier",4253,"NULL",NULL,"Mature Adult",5,"2017-10-01","Male",1,"San Diego Campus - 5500",53,"Returns",23,"NULL",NULL,"blue",1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,"2019-08-18","2019-10-16",59,0
599193,"Grandy","American Pit Bull Terrier",4252,"NULL",NULL,"Mature Adult",5,"2018-08-06","Male",1,"San Diego Campus - 5500",53,"ACO Impound",32,"NULL",NULL,"orange",2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"2019-06-06","2019-10-30",146,0
599636,"Dawn","Chihuahua",4287,"NULL",NULL,"Mature Adult",5,"2017-12-07","Female",2,"Oceanside Campus - Dogs",56,"Owner Surrender",2,"Other",268,"blue",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019-09-26","2019-09-30",4,0
600360,"Zoe","Chihuahua",4287,"NULL",NULL,"Mature Adult",5,"2014-03-04","Female",2,"San Diego Campus - 5500",53,"Returns",23,"NULL",NULL,"blue",1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"2019-08-24","2019-10-04",41,0
